傲岸不遜;ごうがんふそん;"/(n,adj-na) arrogant and presumptuous/haughty arrogance; intolerable insolence/"
質実剛健;しつじつごうけん;"/(n,adj-na) unaffected and sincere, with fortitude and vigor; simplicity and fortitude/"
有言実行;ゆうげんじっこう;/(n,vs) carry out one's words/be as good as one's word/make good on one's promise/
一族郎党;いちぞくろうとう;/(n) one's family and followers/one's whole clan/
安穏無事;あんのんぶじ;/(n,adj-na) peace and quiet/safe and peaceful/tranquil and uneventful/
左顧右眄;さこうべん;/(n,vs) hesitation/wavering/looking left and right and all around, unable to make up one's mind/shilly-shally/
右顧左眄;うこさべん;/(n,vs) hesitation/wavering/looking right and left and all around, unable to make up one's mind/shilly-shally/
戮力協心;りくりょくきょうしん;/(n,vs) combined (concerted) efforts/solidarity/joining forces (with)/
同工異曲;どうこういきょく;"/(n) different in appearance but essentially the same in content; equal in skills or workmanship but diffethe same for all practical purposes/the same for all practical purposes/"
異口同音;いくどうおん;/(n) in concert/with one voice/unanimously/
沈思黙考;ちんしもっこう;/(n,vs) be lost in deep thought/be sunk deep in contemplation/
刻苦勉励;こっくべんれい;/(n,vs) be arduous/work diligently enduring hardships/make a strenuous effort/
清廉潔白;せいれんけっぱく;"/(adj-na,adj-no,n) spotless integrity/upright and clean-handed; pure in heart and with a clean conscience/"
面目躍如;めんもくやくじょ;"/(adj-no,adj-t,adv-to) true to someone's reputation (talent); characteristic of someone as/with evident joy of having lived up to one's reputation/having an effect of bolstering one's reputation/"
滅私奉公;めっしほうこう;/(n) selfless devotion to one's country/sacrificing one's personal interest to public good/
日進月歩;にっしんげっぽ;/(n) steady progress/ever-progressing/steady and rapid advance/
一進一退;いっしんいったい;/(n,vs) now advancing and now retreating/ebb and flow/wax and wane/taking alternately favorable and unfavorable turns/
豪華絢爛;ごうかけんらん;"/(adj-na,adj-no,adj-t,adv-to) luxurious and gorgeous/splendid; dazzling/magnificent/"
言語道断;ごんごどうだん;"/(adj-na,adj-no,n) outrageous/preposterous/inexcusable/absurd; unspeakable/"
空空寂寂;くうくうじゃくじゃく;"/(adj-no,adj-t,adv-to) deserted and lonesome/quiet and alone; innocent and nonattached/All is void./"
正正堂堂;せいせいどうどう;/(adj-no,adj-t,adv-to) fair and square/open and aboveboard/
死屍累累;ししるいるい;/(adj-no,adj-t,adv-to) heaps of corpses all around/
